acquisition_cost_usd,order_value_usd,satisfaction_score,support_tickets,days_acq_to_order,days_order_to_payment,acquisition_date_year,acquisition_date_month,acquisition_date_dayofweek,order_date_year,order_date_month,order_date_dayofweek,payment_date_year,payment_date_month,payment_date_dayofweek,market_segment_Asia-Pacific,market_segment_Europe,market_segment_Middle East,market_segment_North America,supplier_id_SUP-B,supplier_id_SUP-C,supplier_id_SUP-D,supplier_id_SUP-E,supplier_id_SUP-F,supplier_id_SUP-G,Delay_Probability,Risk_Level,Action,Priority,Owner,SLA_Hours
910,8000,4,0,914,40,2025,8,6,2028,2,3,2028,3,1,False,False,False,False,False,False,False,False,False,True,0.915,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
810,6500,3,2,25,41,2024,1,6,2024,2,3,2024,3,2,False,False,False,False,False,False,False,False,False,True,0.91,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
910,9500,4,0,1026,40,2025,10,1,2028,8,5,2028,9,3,False,False,False,False,False,False,False,True,False,False,0.905,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
810,7500,3,1,927,40,2025,8,0,2028,3,3,2028,4,1,False,False,False,False,False,False,False,False,False,False,0.905,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
830,9000,5,0,616,40,2025,1,3,2026,10,3,2026,11,1,False,False,False,False,False,False,True,False,False,False,0.905,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
950,7000,3,1,50,41,2024,1,1,2024,3,2,2024,4,1,False,False,False,False,False,False,False,True,False,False,0.905,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
910,9500,4,0,243,40,2024,6,1,2025,2,6,2025,3,4,False,False,False,False,False,False,False,True,False,False,0.905,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
870,7000,3,1,678,40,2025,3,1,2027,1,0,2027,2,5,False,False,False,False,False,False,False,True,False,False,0.9,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
930,9000,4,1,318,40,2024,7,0,2025,6,3,2025,7,1,False,False,False,False,False,False,False,False,False,False,0.9,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
870,9000,3,1,454,40,2024,10,4,2026,1,3,2026,2,1,False,False,False,False,False,False,False,False,True,False,0.9,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
860,6000,4,0,665,41,2025,3,0,2026,12,0,2027,2,6,False,False,False,False,False,False,False,False,False,False,0.9,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
960,9000,4,0,939,40,2025,8,1,2028,3,2,2028,5,0,False,False,False,False,False,False,False,True,False,False,0.895,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
830,9000,5,0,392,40,2024,9,6,2025,10,6,2025,11,4,False,False,False,False,False,False,False,False,False,True,0.895,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
930,9500,3,1,1100,40,2025,12,0,2028,12,1,2029,1,6,False,False,False,False,False,False,False,False,False,False,0.89,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
860,7000,4,0,888,41,2025,7,4,2027,12,3,2028,2,2,False,False,False,False,False,False,False,False,True,False,0.89,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
910,8000,4,0,691,40,2025,3,2,2027,2,0,2027,3,5,False,False,False,False,True,False,False,False,False,False,0.89,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
870,7000,4,1,342,40,2024,8,2,2025,7,1,2025,8,6,False,False,False,False,True,False,False,False,False,False,0.885,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
810,7500,3,1,367,40,2024,8,4,2025,8,0,2025,10,5,False,False,False,False,False,False,False,False,True,False,0.885,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
860,9000,4,0,1113,40,2025,12,1,2029,1,1,2029,2,6,False,False,False,False,False,False,False,True,False,False,0.88,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
960,6500,4,2,604,40,2025,1,2,2026,9,4,2026,10,2,False,False,False,False,True,False,False,False,False,False,0.88,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
850,7500,5,0,114,40,2024,3,2,2024,7,4,2024,8,2,False,False,False,False,True,False,False,False,False,False,0.88,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
830,7500,5,0,505,40,2024,11,1,2026,4,2,2026,5,0,False,False,False,False,False,False,False,True,False,False,0.875,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
960,8000,4,2,380,40,2024,8,5,2025,9,0,2025,10,5,False,False,False,False,False,True,False,False,False,False,0.875,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
930,8000,4,1,78,40,2024,2,5,2024,5,6,2024,6,4,False,False,False,False,False,False,False,False,False,True,0.875,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
860,8000,4,0,330,40,2024,7,1,2025,6,2,2025,8,0,False,False,False,False,False,False,False,True,False,False,0.875,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
810,9000,3,1,814,40,2025,6,5,2027,8,0,2027,10,5,False,False,False,False,False,True,False,False,False,False,0.87,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
860,6500,4,0,1001,40,2025,10,6,2028,7,6,2028,8,4,False,False,False,False,False,False,False,False,False,True,0.86,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
800,5500,4,1,37,42,2024,1,0,2024,2,2,2024,4,2,False,False,False,False,False,False,False,False,False,False,0.86,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
900,9500,4,0,66,40,2024,2,4,2024,4,0,2024,5,5,False,False,False,False,False,True,False,False,False,False,0.85,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
930,7000,5,0,205,40,2024,5,5,2024,12,0,2025,1,5,False,False,False,False,False,True,False,False,False,False,0.84,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
930,8000,3,1,876,40,2025,7,3,2027,12,4,2028,1,2,False,False,False,False,False,False,True,False,False,False,0.835,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
810,8000,3,1,591,40,2025,1,1,2026,8,4,2026,10,2,False,False,False,False,False,False,False,True,False,False,0.825,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
850,9500,4,1,193,40,2024,5,4,2024,11,1,2024,12,6,False,False,False,False,False,False,False,False,True,False,0.815,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
830,5000,4,2,90,40,2024,2,6,2024,5,5,2024,7,3,False,False,False,False,False,False,False,False,False,False,0.775,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
860,8000,4,0,139,40,2024,3,4,2024,8,3,2024,9,1,False,False,False,False,False,False,False,False,True,False,0.77,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
930,8000,4,1,429,40,2024,10,2,2025,12,4,2026,1,2,False,False,False,False,True,False,False,False,False,False,0.77,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
910,8000,4,0,355,40,2024,8,3,2025,8,1,2025,9,6,False,False,False,False,False,False,True,False,False,False,0.765,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
910,8500,4,0,802,40,2025,5,4,2027,8,1,2027,9,6,False,False,False,False,False,False,False,False,True,False,0.745,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
850,9500,5,0,976,40,2025,9,4,2028,5,0,2028,7,5,False,False,False,False,False,False,False,False,True,False,0.74,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
830,9000,5,0,1063,40,2025,11,4,2028,10,3,2028,11,1,False,False,False,False,False,False,False,False,True,False,0.74,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
870,8500,4,1,230,40,2024,5,0,2025,1,6,2025,2,4,False,False,False,False,False,False,False,False,False,False,0.73,High,Expedite shipment and escalate supplier,P1,Supply Chain Manager,12
830,9500,5,0,839,40,2025,6,0,2027,10,6,2027,11,4,False,False,False,False,False,False,False,False,False,False,0.695,Medium,Monitor order and confirm dispatch timeline,P2,Operations Analyst,24
960,6000,4,1,180,40,2024,4,3,2024,10,1,2024,12,6,False,False,False,False,False,False,True,False,False,False,0.63,Medium,Monitor order and confirm dispatch timeline,P2,Operations Analyst,24
920,8500,5,0,12,38,2024,1,5,2024,1,3,2024,2,6,False,True,False,False,True,False,False,False,False,False,0.28,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
960,14000,3,1,70,40,2024,2,0,2024,4,0,2024,6,5,False,True,False,False,False,False,False,True,False,False,0.205,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
930,9500,4,0,27,42,2024,1,1,2024,2,0,2024,3,0,False,True,False,False,False,False,False,False,False,False,0.185,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
810,7000,3,1,87,40,2024,2,4,2024,5,0,2024,6,5,False,True,False,False,False,True,False,False,False,False,0.17,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
960,17500,3,2,32,42,2024,1,4,2024,2,1,2024,4,1,False,False,False,True,False,False,False,False,True,False,0.17,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
960,9000,4,1,435,40,2024,10,6,2025,12,0,2026,1,5,False,False,True,False,False,False,False,False,False,True,0.165,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
930,7500,5,0,1157,40,2026,1,1,2029,3,3,2029,4,1,False,False,True,False,False,False,False,True,False,False,0.165,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
810,8500,4,1,172,40,2024,4,4,2024,10,1,2024,11,6,False,True,False,False,False,False,False,False,True,False,0.16,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
810,7500,4,1,64,40,2024,2,3,2024,4,4,2024,5,2,False,True,False,False,False,False,False,False,True,False,0.155,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
960,9000,3,1,211,40,2024,5,2,2024,12,3,2025,1,1,False,False,True,False,True,False,False,False,False,False,0.155,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
850,8500,4,1,1144,40,2026,1,0,2029,2,3,2029,4,1,False,False,True,False,False,False,False,False,False,False,0.15,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
860,10000,3,1,247,40,2024,6,3,2025,2,5,2025,3,3,False,True,False,False,False,False,True,False,False,False,0.145,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
820,6000,5,0,72,40,2024,2,1,2024,4,3,2024,6,1,False,False,True,False,True,False,False,False,False,False,0.14,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
790,7500,3,1,14,37,2024,1,0,2024,1,0,2024,2,2,False,False,False,True,False,False,False,False,False,False,0.14,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
930,9500,5,0,374,40,2024,8,1,2025,9,4,2025,10,2,False,False,True,False,False,False,False,True,False,False,0.125,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
860,8000,4,1,610,40,2025,1,6,2026,9,0,2026,11,5,False,False,True,False,False,False,False,False,False,True,0.125,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
810,5500,3,1,120,40,2024,3,6,2024,7,0,2024,8,5,False,False,True,False,False,False,False,False,False,True,0.12,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
930,7500,5,0,821,40,2025,6,2,2027,9,4,2027,10,2,False,False,True,False,True,False,False,False,False,False,0.095,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
930,7000,5,0,486,40,2024,11,3,2026,3,6,2026,4,4,False,False,True,False,False,False,True,False,False,False,0.095,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
860,9000,4,1,1170,40,2026,1,2,2029,4,3,2029,5,1,False,False,True,False,True,False,False,False,False,False,0.09,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
930,9500,5,0,1045,40,2025,11,6,2028,9,1,2028,10,6,False,False,True,False,False,False,False,False,False,True,0.09,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
870,8500,4,0,734,40,2025,4,2,2027,4,1,2027,5,6,False,False,True,False,True,False,False,False,False,False,0.08,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
860,9000,4,1,498,40,2024,11,4,2026,3,5,2026,5,3,False,False,True,False,False,False,False,False,True,False,0.075,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
830,7500,4,1,1119,40,2025,12,5,2029,1,4,2029,2,2,False,False,True,False,False,True,False,False,False,False,0.065,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
940,8000,4,1,108,40,2024,3,5,2024,6,1,2024,8,6,False,False,True,False,False,True,False,False,False,False,0.06,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
850,12500,3,1,1005,40,2025,10,1,2028,7,5,2028,8,3,False,True,False,False,False,False,False,True,False,False,0.06,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
810,9500,4,1,535,40,2024,12,0,2026,5,3,2026,7,1,False,False,True,False,False,False,False,False,False,False,0.06,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
930,9500,5,0,598,40,2025,1,5,2026,9,1,2026,10,6,False,False,True,False,False,True,False,False,False,False,0.06,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
960,10000,5,0,105,40,2024,3,3,2024,6,3,2024,7,1,False,True,False,False,False,False,True,False,False,False,0.06,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
870,7500,4,0,622,40,2025,2,0,2026,10,6,2026,11,4,False,False,True,False,False,False,False,False,False,False,0.055,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
830,6000,5,0,145,40,2024,4,1,2024,8,6,2024,10,4,False,False,True,False,False,False,False,True,False,False,0.055,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
870,7500,4,0,398,40,2024,9,3,2025,10,2,2025,11,0,False,False,True,False,False,False,True,False,False,False,0.055,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
960,9500,4,1,348,41,2024,8,6,2025,7,4,2025,9,3,False,False,True,False,False,False,False,False,False,True,0.055,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
870,8000,5,0,31,41,2024,1,3,2024,2,6,2024,3,5,False,False,True,False,True,False,False,False,False,False,0.055,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
910,7500,4,1,187,40,2024,4,0,2024,11,5,2024,12,3,False,False,True,False,False,False,False,False,False,False,0.055,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
960,9500,5,0,158,40,2024,4,2,2024,9,6,2024,10,4,False,False,True,False,True,False,False,False,False,False,0.055,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
830,9500,4,1,18,42,2024,1,2,2024,1,6,2024,3,6,False,False,True,False,False,False,False,True,False,False,0.055,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
870,6000,4,0,511,40,2024,11,5,2026,4,5,2026,5,3,False,False,True,False,False,True,False,False,False,False,0.055,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
950,17000,3,1,729,40,2025,4,6,2027,4,0,2027,5,5,False,False,False,True,False,False,False,False,False,True,0.05,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
960,9000,4,0,1132,40,2025,12,6,2029,2,4,2029,3,2,False,False,True,False,False,False,False,False,False,True,0.05,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
960,9500,4,1,995,40,2025,10,2,2028,6,3,2028,8,1,False,False,True,False,True,False,False,False,False,False,0.05,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
960,9500,4,0,882,40,2025,7,0,2027,12,0,2028,1,5,False,False,True,False,False,False,False,False,False,False,0.05,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
870,8000,4,0,287,40,2024,7,1,2025,4,1,2025,5,6,False,False,True,False,False,False,False,True,False,False,0.05,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
810,7000,4,0,983,40,2025,9,1,2028,6,4,2028,7,2,False,False,True,False,False,False,False,True,False,False,0.05,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
870,9000,5,0,958,40,2025,9,6,2028,4,5,2028,6,3,False,False,True,False,False,False,False,False,False,True,0.045,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
850,14000,3,1,892,40,2025,7,6,2028,1,2,2028,2,0,False,True,False,False,False,False,False,False,False,True,0.045,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
960,6500,4,0,548,40,2024,12,1,2026,6,3,2026,7,1,False,False,True,False,False,False,False,True,False,False,0.045,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
850,6500,4,1,697,40,2025,3,6,2027,2,3,2027,3,1,False,False,True,False,False,False,False,False,False,True,0.045,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
920,9500,4,0,96,40,2024,3,4,2024,6,2,2024,7,0,False,False,True,False,False,False,False,False,True,False,0.045,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
960,6000,4,1,324,40,2024,7,4,2025,6,6,2025,7,4,False,False,True,False,False,False,False,False,True,False,0.045,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
960,8500,4,0,572,41,2025,1,3,2026,7,1,2026,9,0,False,False,True,False,False,False,True,False,False,False,0.045,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
850,9000,4,1,585,40,2025,1,4,2026,8,1,2026,9,6,False,False,True,False,False,False,False,False,True,False,0.045,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
960,6500,4,1,133,40,2024,3,0,2024,8,0,2024,9,5,False,False,True,False,False,False,False,False,False,False,0.04,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
960,6000,4,0,1106,40,2025,12,4,2028,12,4,2029,1,2,False,False,True,False,False,False,False,False,True,False,0.04,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
810,7500,4,1,311,40,2024,7,3,2025,5,6,2025,7,4,False,False,True,False,False,False,True,False,False,False,0.04,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
810,8000,4,1,199,40,2024,5,1,2024,11,4,2025,1,2,False,False,True,False,False,False,False,True,False,False,0.04,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
960,7000,4,1,236,40,2024,5,4,2025,1,2,2025,3,0,False,False,True,False,False,False,False,False,True,False,0.04,Low,No immediate action; keep routine monitoring,P3,Auto-monitoring,72
